king_wen,binary_l1_to_l6,line,edge,modality,valence,commit_direction,terminal_sign,earlier_sign,later_sign
51,100100,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
51,100100,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
51,100100,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
51,100100,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
51,100100,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
52,001001,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
52,001001,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
52,001001,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
52,001001,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
52,001001,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
52,001001,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
53,001011,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
53,001011,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
53,001011,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
53,001011,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
53,001011,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
53,001011,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
54,110100,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
54,110100,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
54,110100,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
54,110100,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
54,110100,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
54,110100,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
55,001101,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
55,001101,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
55,001101,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
